職場の様子,休日休暇(月曜日),（派遣先）配属先部署　男女比　男,大手企業,交通費別途支給,（派遣先）配属先部署　人数,残業月20時間以上,職種コード,1日7時間以下勤務OK,短時間勤務OK(1日4h以内),駅から徒歩5分以内,学校・公的機関（官公庁）,土日祝のみ勤務,掲載期間　開始日,Wordのスキルを活かす,勤務地　最寄駅1（分）,派遣スタッフ活躍中,大量募集,Accessのスキルを活かす,休日休暇(火曜日),平日休みあり,休日休暇　備考,フラグオプション選択,期間・時間　勤務時間,期間・時間　勤務期間,派遣形態,週2・3日OK,勤務先公開,Excelのスキルを活かす,16時前退社OK,正社員登用あり,残業月20時間未満,勤務地　備考,英語力不要,拠点番号,休日休暇(日曜日),社員食堂あり,お仕事名,10時以降出社OK,期間・時間　勤務開始日,英語以外の語学力を活かす,休日休暇(祝日),外資系企業,服装自由,PowerPointのスキルを活かす,（派遣先）配属先部署,（派遣先）配属先部署　男女比　女,仕事内容,休日休暇(土曜日),休日休暇(木曜日),勤務地　最寄駅1（沿線名）,（派遣先）配属先部署　平均年齢,英語力を活かす,会社概要　業界コード,勤務地　都道府県コード,PCスキル不要,車通勤OK,制服あり,休日休暇(水曜日),仕事の仕方,勤務地　最寄駅1（駅からの交通手段）,応募資格,紹介予定派遣,シフト勤務,経験者優遇,週4日勤務,未経験OK,派遣会社のうれしい特典,土日祝休み,給与/交通費　交通費,掲載期間　終了日,休日休暇(金曜日),お仕事のポイント（仕事PR）,扶養控除内,給与/交通費　給与下限,オフィスが禁煙・分煙,勤務地　市区町村コード,（派遣先）職場の雰囲気,勤務地　最寄駅1（駅名）,給与/交通費　備考,残業なし
3,0,3.0,1,0,17.0,0,22030,1,0,1,0,0,0,1,1.0,1,0,1,0,0,1,3,1,5,1,0,0,1,0,1,0,1,1,0,1,1,7,0,1,0,1,0,1,0,7,7.0,7,1,0,0,40.0,0,28000,13,0,0,0,0,1,1.0,7,1,0,1,0,0,0,1,3,0,0,7,0,1800,1,101,6,1,264600.0,1
3,0,3.0,1,0,17.0,0,22030,1,0,1,0,0,0,1,1.0,1,0,1,0,0,1,3,1,5,1,0,0,1,0,1,0,1,1,0,1,1,7,0,1,0,1,0,1,0,7,7.0,7,1,0,0,40.0,0,28000,13,0,0,0,0,1,1.0,7,1,0,1,0,0,0,1,3,0,0,7,0,1800,1,101,6,1,264600.0,1
3,0,5.0,0,0,6.0,1,22020,0,0,1,0,0,0,1,6.0,0,0,0,0,0,1,3,6,5,1,0,0,1,0,1,0,1,1,0,1,0,8,0,1,0,1,0,1,0,8,5.0,8,1,0,6,40.0,0,29000,13,0,0,0,0,5,1.0,8,1,0,1,0,0,0,1,3,0,0,8,0,1800,1,101,7,6,302400.0,0
3,0,5.0,0,0,6.0,1,22020,0,0,1,0,0,0,1,6.0,0,0,0,0,0,1,3,6,5,1,0,0,1,0,1,0,1,1,0,1,0,8,0,1,0,1,0,1,0,8,5.0,8,1,0,6,40.0,0,29000,13,0,0,0,0,5,1.0,8,1,0,1,0,0,0,1,3,0,0,8,0,1800,1,101,7,6,302400.0,0
3,0,7.0,0,0,8.0,0,20030,0,0,1,0,0,0,1,3.0,1,0,1,0,0,1,3,7,5,1,0,0,1,0,1,1,1,0,0,1,0,9,0,1,0,1,0,1,1,9,3.0,9,1,0,7,40.0,1,23000,13,0,0,0,0,3,1.0,9,1,0,1,0,1,0,1,3,0,0,9,0,1700,1,101,8,7,258825.0,0
3,0,7.0,0,0,8.0,0,20030,0,0,1,0,0,0,1,3.0,1,0,1,0,0,1,3,7,5,1,0,0,1,0,1,1,1,0,0,1,0,9,0,1,0,1,0,1,1,9,3.0,9,1,0,7,40.0,1,23000,13,0,0,0,0,3,1.0,9,1,0,1,0,1,0,1,3,0,0,9,0,1700,1,101,8,7,258825.0,0
3,0,5.0,0,0,6.0,0,20610,0,0,1,0,0,0,1,1.0,1,0,0,0,0,1,3,8,5,1,0,0,1,0,1,0,5,1,0,1,0,10,0,2,0,1,0,1,0,10,5.0,10,1,0,8,40.0,0,23000,13,0,0,0,0,1,1.0,10,1,0,1,0,1,0,1,3,0,0,10,0,1650,1,103,9,8,235200.0,1
3,0,5.0,0,0,2.0,0,20020,1,0,1,0,0,0,1,3.0,0,0,0,0,0,2,1,9,5,0,0,0,1,1,0,0,2,0,0,1,0,11,1,1,0,1,0,1,0,11,5.0,11,1,0,1,59.0,1,22000,13,0,0,0,1,3,1.0,11,0,0,1,1,0,0,1,3,0,0,11,0,1760,1,102,10,9,235200.0,1
3,0,5.0,0,0,2.0,0,20020,1,0,1,0,0,0,1,3.0,0,0,0,0,0,2,1,9,5,0,0,0,1,1,0,0,2,0,0,1,0,11,1,1,0,1,0,1,0,11,5.0,11,1,0,1,59.0,1,22000,13,0,0,0,1,3,1.0,11,0,0,1,1,0,0,1,3,0,0,11,0,1760,1,102,10,9,235200.0,1
3,0,8.0,0,0,6.0,0,20020,0,0,0,0,0,0,1,8.0,1,0,0,0,0,1,1,10,5,0,0,0,1,0,0,1,6,1,0,1,0,12,0,1,0,1,0,0,0,12,2.0,12,1,0,9,48.0,0,29000,13,0,0,1,0,2,1.0,12,0,0,1,0,0,0,1,3,0,0,12,0,2000,1,115,11,10,336000.0,0
3,0,8.0,0,0,6.0,0,20020,0,0,0,0,0,0,1,8.0,1,0,0,0,0,1,1,10,5,0,0,0,1,0,0,1,6,1,0,1,0,12,0,1,0,1,0,0,0,12,2.0,12,1,0,9,48.0,0,29000,13,0,0,1,0,2,1.0,12,0,0,1,0,0,0,1,3,0,0,12,0,2000,1,115,11,10,336000.0,0
3,0,3.0,1,1,22.0,0,20020,0,0,1,0,0,0,1,13.0,1,0,0,0,0,1,1,11,5,0,0,0,1,0,0,1,1,1,0,1,0,13,0,1,0,1,0,1,0,13,7.0,13,1,0,2,49.0,0,22000,13,0,0,0,0,1,1.0,13,0,0,1,0,0,0,1,2,0,0,13,0,1850,1,101,10,3,297850.0,0
3,0,10.0,0,0,13.0,0,22030,0,0,1,1,0,0,1,5.0,1,0,0,0,0,1,3,12,5,1,0,0,1,0,1,0,1,1,0,1,0,14,0,2,0,1,0,0,0,14,0.0,14,1,0,2,40.0,0,30000,13,0,0,0,0,3,1.0,14,1,0,1,0,1,0,1,3,0,0,14,0,1500,1,101,12,11,236250.0,1
3,0,7.0,0,0,4.0,0,20020,0,0,1,1,0,0,1,2.0,0,0,0,0,0,1,3,13,3,0,0,0,1,0,0,0,7,1,0,1,0,15,0,1,0,1,0,1,0,0,3.0,15,1,0,10,50.0,0,30000,13,0,0,0,0,1,1.0,15,0,0,1,0,1,0,1,3,0,0,15,0,1780,1,106,13,12,280350.0,1
3,0,2.0,0,0,9.0,1,22010,1,0,1,1,0,0,1,3.0,1,0,1,0,0,0,3,14,5,0,0,1,1,0,0,0,8,1,0,1,1,16,0,2,0,1,0,1,0,15,8.0,16,1,0,11,40.0,0,30000,13,0,0,0,0,1,1.0,16,0,0,1,0,1,0,1,3,0,0,16,0,1500,1,105,14,13,220500.0,0
3,0,6.0,1,0,7.0,0,20610,0,0,0,0,0,0,1,7.0,1,0,0,0,0,1,1,12,5,0,0,0,1,0,0,0,9,1,0,1,0,17,0,1,0,1,0,1,0,14,4.0,17,1,0,2,38.0,0,21000,13,0,0,0,0,1,1.0,17,0,0,1,0,1,0,1,3,0,0,17,0,1700,1,113,15,14,267750.0,1
3,0,6.0,1,0,7.0,0,20610,0,0,0,0,0,0,1,7.0,1,0,0,0,0,1,1,12,5,0,0,0,1,0,0,0,9,1,0,1,0,17,0,1,0,1,0,1,0,14,4.0,17,1,0,2,38.0,0,21000,13,0,0,0,0,1,1.0,17,0,0,1,0,1,0,1,3,0,0,17,0,1700,1,113,15,14,267750.0,1
3,0,3.0,0,0,30.0,0,20510,1,0,1,0,0,0,1,2.0,1,0,1,0,0,1,3,1,5,1,0,0,1,0,1,0,1,1,0,1,1,18,0,1,0,1,0,1,1,16,7.0,18,1,0,0,35.0,0,28000,13,0,0,0,0,1,1.0,18,1,0,1,0,0,0,1,3,0,0,1,0,1800,1,101,1,1,264600.0,1
3,0,3.0,0,0,30.0,0,20510,1,0,1,0,0,0,1,2.0,1,0,1,0,0,1,3,1,5,1,0,0,1,0,1,0,1,1,0,1,1,18,0,1,0,1,0,1,1,16,7.0,18,1,0,0,35.0,0,28000,13,0,0,0,0,1,1.0,18,1,0,1,0,0,0,1,3,0,0,1,0,1800,1,101,1,1,264600.0,1
3,0,4.0,0,0,5.0,0,20810,1,0,1,0,0,0,1,5.0,1,0,1,1,0,3,1,15,5,0,1,0,1,1,0,0,10,1,0,1,0,19,1,1,0,1,0,1,0,17,6.0,19,1,1,2,40.0,0,27000,13,0,0,0,0,4,1.0,19,0,0,1,0,0,0,1,3,0,0,18,0,1420,1,104,10,14,235200.0,1
3,0,4.0,0,0,5.0,0,20810,1,0,1,0,0,0,1,5.0,1,0,1,1,0,3,1,15,5,0,1,0,1,1,0,0,10,1,0,1,0,19,1,1,0,1,0,1,0,17,6.0,19,1,1,2,40.0,0,27000,13,0,0,0,0,4,1.0,19,0,0,1,0,0,0,1,3,0,0,18,0,1420,1,104,10,14,235200.0,1
3,0,5.0,0,0,8.0,0,22010,1,0,1,1,0,0,1,5.0,0,0,0,0,0,1,3,1,5,0,0,0,1,0,0,0,10,1,0,1,1,20,0,1,0,1,0,1,0,18,5.0,20,1,0,2,40.0,0,30000,13,0,0,0,0,1,1.0,20,0,0,1,0,1,0,1,3,0,0,19,0,1600,1,104,16,15,235200.0,1
3,0,5.0,0,0,8.0,0,22010,1,0,1,1,0,0,1,5.0,0,0,0,0,0,1,3,1,5,0,0,0,1,0,0,0,10,1,0,1,1,20,0,1,0,1,0,1,0,18,5.0,20,1,0,2,40.0,0,30000,13,0,0,0,0,1,1.0,20,0,0,1,0,1,0,1,3,0,0,19,0,1600,1,104,16,15,235200.0,1
3,0,5.0,0,0,4.0,0,20020,1,0,1,1,0,0,1,1.0,1,0,0,0,0,1,3,16,3,0,0,0,1,0,0,0,1,0,0,1,0,21,0,2,0,1,0,1,0,0,5.0,21,1,0,8,41.0,1,30000,13,0,0,0,0,1,1.0,21,0,0,1,0,1,0,1,3,0,0,20,0,1700,1,101,11,16,249900.0,1
3,0,5.0,0,0,6.0,0,22030,1,0,1,0,0,0,1,2.0,1,0,1,0,0,1,3,17,5,1,0,0,1,0,1,1,10,1,0,1,0,22,0,1,0,1,0,0,1,14,5.0,22,1,0,12,56.0,0,28000,13,0,0,0,0,2,1.0,22,1,0,1,0,1,0,1,3,0,0,21,0,1600,1,104,17,17,235200.0,0
3,0,1.0,0,0,9.0,0,20320,1,0,0,1,0,0,1,7.0,1,0,0,0,0,1,3,1,5,0,0,0,1,0,0,0,5,0,0,1,0,23,0,1,0,1,0,1,0,19,9.0,23,1,0,2,45.0,1,30000,13,0,0,0,0,3,1.0,23,0,0,1,0,0,0,1,3,0,0,22,0,1850,1,103,18,18,271950.0,1
3,0,1.0,0,0,9.0,0,20320,1,0,0,1,0,0,1,7.0,1,0,0,0,0,1,3,1,5,0,0,0,1,0,0,0,5,0,0,1,0,23,0,1,0,1,0,1,0,19,9.0,23,1,0,2,45.0,1,30000,13,0,0,0,0,3,1.0,23,0,0,1,0,0,0,1,3,0,0,22,0,1850,1,103,18,18,271950.0,1
3,0,2.0,1,1,6.0,0,20020,1,0,1,0,0,0,1,5.0,0,0,0,0,0,1,1,1,5,0,0,0,1,0,0,0,0,1,0,1,0,24,0,2,0,1,0,1,0,0,8.0,24,1,0,0,42.0,0,29000,13,0,0,0,0,5,1.0,20,0,0,1,0,1,0,1,2,0,0,23,0,1550,1,121,5,0,227850.0,1
3,0,3.0,0,1,7.0,0,20610,0,0,1,0,0,0,1,3.0,1,0,0,0,0,0,1,13,5,0,0,0,1,0,0,0,1,1,0,1,0,25,0,2,0,1,0,1,1,20,7.0,25,1,0,0,38.0,0,27000,13,0,0,0,0,2,1.0,24,0,0,1,0,0,0,1,2,0,0,24,0,2100,1,101,19,19,330750.0,1
3,0,5.0,0,0,6.0,0,22020,0,0,1,0,0,0,1,2.0,1,0,0,0,0,1,3,18,5,1,0,0,1,0,1,0,2,1,0,1,0,26,0,1,0,1,0,1,0,10,5.0,26,1,0,13,43.0,0,22000,13,0,0,0,0,2,1.0,25,1,0,1,0,0,0,1,3,0,0,25,0,1850,1,102,14,20,235200.0,1
3,0,5.0,0,0,6.0,0,22020,0,0,1,0,0,0,1,2.0,1,0,0,0,0,1,3,18,5,1,0,0,1,0,1,0,2,1,0,1,0,26,0,1,0,1,0,1,0,10,5.0,26,1,0,13,43.0,0,22000,13,0,0,0,0,2,1.0,25,1,0,1,0,0,0,1,3,0,0,25,0,1850,1,102,14,20,235200.0,1
3,0,7.0,0,0,3.0,0,20410,1,0,1,0,0,0,1,3.0,1,0,0,0,0,1,1,19,5,0,0,0,1,0,0,1,10,1,0,1,0,27,0,1,0,1,0,1,0,21,3.0,27,1,0,11,35.0,0,28000,13,0,0,0,0,4,1.0,26,0,0,1,0,0,0,1,3,0,0,26,0,2000,1,104,20,21,294000.0,0
3,0,2.0,0,1,5.0,0,22020,0,0,1,0,0,0,1,10.0,0,0,0,0,0,1,3,20,5,1,0,0,1,0,1,0,2,1,0,1,0,28,0,1,0,1,0,1,0,22,8.0,28,1,0,2,41.0,0,30000,13,0,0,0,0,2,1.0,27,1,0,1,0,1,0,1,2,0,0,27,0,1750,1,102,21,3,275625.0,1
3,0,2.0,0,1,5.0,0,22020,0,0,1,0,0,0,1,10.0,0,0,0,0,0,1,3,20,5,1,0,0,1,0,1,0,2,1,0,1,0,28,0,1,0,1,0,1,0,22,8.0,28,1,0,2,41.0,0,30000,13,0,0,0,0,2,1.0,27,1,0,1,0,1,0,1,2,0,0,27,0,1750,1,102,21,3,275625.0,1
3,0,2.0,1,1,6.0,0,20020,1,0,1,0,0,0,1,5.0,0,0,0,0,0,1,1,1,5,0,0,0,1,0,0,0,0,1,0,1,0,29,0,2,0,1,0,1,0,0,8.0,29,1,0,0,42.0,0,29000,13,0,0,0,0,4,1.0,20,0,0,1,0,1,0,1,2,0,0,28,0,1550,1,121,5,0,227850.0,1
3,0,5.0,0,0,21.0,0,22030,0,0,1,0,0,0,1,1.0,0,0,0,0,0,1,3,21,5,1,0,0,1,0,1,0,1,1,0,1,0,30,0,1,0,1,0,1,0,23,5.0,30,1,0,2,33.0,0,27000,13,0,0,0,0,3,1.0,28,1,0,1,0,1,0,1,3,0,0,29,0,1650,1,101,14,22,259875.0,1
3,0,5.0,0,0,21.0,0,22030,0,0,1,0,0,0,1,1.0,0,0,0,0,0,1,3,21,5,1,0,0,1,0,1,0,1,1,0,1,0,30,0,1,0,1,0,1,0,23,5.0,30,1,0,2,33.0,0,27000,13,0,0,0,0,3,1.0,28,1,0,1,0,1,0,1,3,0,0,29,0,1650,1,101,14,22,259875.0,1
3,0,4.0,0,0,5.0,0,20320,0,0,1,0,0,0,1,3.0,1,0,0,0,0,1,3,22,5,1,0,0,1,0,1,1,1,0,0,1,0,31,0,1,1,1,0,1,0,24,6.0,31,1,0,2,39.0,1,27000,13,0,0,0,0,4,1.0,29,1,0,1,0,1,0,1,3,0,0,30,0,1700,1,101,21,3,235200.0,0
3,0,3.0,1,0,6.0,0,20320,0,0,1,0,0,0,1,3.0,1,0,1,0,0,1,1,12,5,0,0,0,1,0,0,0,1,0,0,1,1,32,0,2,0,1,0,1,0,25,7.0,32,1,0,2,35.0,1,21000,13,0,0,0,0,5,1.0,30,0,0,1,0,0,0,1,3,0,0,31,0,2300,1,101,0,23,362250.0,1
3,0,8.0,0,0,6.0,0,20020,0,0,1,0,0,0,1,6.0,0,0,0,0,0,0,3,12,5,1,0,0,1,0,0,0,11,1,0,1,0,33,0,1,0,1,0,1,0,26,2.0,33,1,0,14,41.0,0,28000,13,0,0,0,0,3,1.0,31,1,0,1,0,1,0,1,3,0,0,32,0,1650,1,202,22,24,259875.0,1
3,0,8.0,0,0,6.0,0,20020,0,0,1,0,0,0,1,6.0,0,0,0,0,0,0,3,12,5,1,0,0,1,0,0,0,11,1,0,1,0,33,0,1,0,1,0,1,0,26,2.0,33,1,0,14,41.0,0,28000,13,0,0,0,0,3,1.0,31,1,0,1,0,1,0,1,3,0,0,32,0,1650,1,202,22,24,259875.0,1
3,0,9.0,0,0,7.0,1,20020,0,0,0,1,0,0,1,6.0,0,0,0,0,0,1,3,2,5,1,0,0,1,0,1,0,2,1,0,1,0,34,0,1,0,1,0,1,0,27,1.0,34,1,0,1,41.0,0,30000,13,0,0,0,0,1,1.0,32,1,0,1,0,1,0,1,3,0,0,33,0,1650,1,102,23,2,259875.0,0
3,0,9.0,0,0,7.0,1,20020,0,0,0,1,0,0,1,6.0,0,0,0,0,0,1,3,2,5,1,0,0,1,0,1,0,2,1,0,1,0,34,0,1,0,1,0,1,0,27,1.0,34,1,0,1,41.0,0,30000,13,0,0,0,0,1,1.0,32,1,0,1,0,1,0,1,3,0,0,33,0,1650,1,102,23,2,259875.0,0
3,0,2.0,0,0,69.0,0,22030,1,0,1,0,0,0,1,1.0,0,0,1,0,0,1,3,16,5,1,0,0,1,0,1,0,10,1,0,1,0,35,0,1,0,1,0,1,0,28,8.0,35,1,0,7,40.0,0,27000,13,0,0,0,0,5,1.0,33,1,0,1,0,1,0,1,3,0,0,34,0,1610,1,104,16,6,236670.0,1
3,0,2.0,0,0,69.0,0,22030,1,0,1,0,0,0,1,1.0,0,0,1,0,0,1,3,16,5,1,0,0,1,0,1,0,10,1,0,1,0,35,0,1,0,1,0,1,0,28,8.0,35,1,0,7,40.0,0,27000,13,0,0,0,0,5,1.0,33,1,0,1,0,1,0,1,3,0,0,34,0,1610,1,104,16,6,236670.0,1
3,0,4.0,1,0,12.0,0,20040,0,0,1,0,0,0,1,1.0,1,0,0,0,0,1,1,23,5,0,0,0,1,0,0,1,10,1,0,1,0,36,0,1,0,1,0,1,0,29,6.0,36,1,0,15,47.0,0,28000,13,0,0,0,0,5,1.0,34,0,0,1,0,1,0,1,3,0,0,35,0,1750,1,104,24,25,272563.0,0
3,0,5.0,0,0,10.0,0,20020,0,0,0,1,0,0,1,7.0,1,0,0,0,0,1,3,13,5,0,0,0,1,0,0,0,10,0,0,1,0,37,0,2,0,1,0,1,0,30,5.0,37,1,0,11,40.0,1,30000,13,0,0,0,0,1,1.0,35,0,0,1,0,1,0,1,3,0,0,36,0,1650,1,104,25,26,259875.0,1
3,0,0.0,0,0,2.0,0,20020,1,1,0,0,0,0,1,10.0,0,0,0,0,0,4,1,24,5,0,0,0,1,1,0,0,12,1,0,1,0,38,1,1,0,1,0,1,0,31,10.0,38,1,0,2,40.0,0,27000,13,0,0,0,0,3,1.0,36,0,0,1,0,1,0,1,3,0,0,37,0,1290,1,116,11,27,108360.0,1
3,0,0.0,0,0,2.0,0,20020,1,1,0,0,0,0,1,10.0,0,0,0,0,0,4,1,24,5,0,0,0,1,1,0,0,12,1,0,1,0,38,1,1,0,1,0,1,0,31,10.0,38,1,0,2,40.0,0,27000,13,0,0,0,0,3,1.0,36,0,0,1,0,1,0,1,3,0,0,37,0,1290,1,116,11,27,108360.0,1
2,0,0.0,0,0,4.0,0,22010,1,0,0,1,0,0,1,12.0,1,0,0,0,0,0,1,25,5,0,0,0,1,0,0,0,13,1,0,1,0,39,1,1,0,1,0,1,0,32,10.0,39,1,0,16,40.0,0,30000,13,0,0,0,0,5,1.0,20,0,0,1,0,1,0,1,3,0,0,38,0,1450,1,119,26,28,182700.0,1
2,0,0.0,0,0,4.0,0,22010,1,0,0,1,0,0,1,12.0,1,0,0,0,0,0,1,25,5,0,0,0,1,0,0,0,13,1,0,1,0,39,1,1,0,1,0,1,0,32,10.0,39,1,0,16,40.0,0,30000,13,0,0,0,0,5,1.0,20,0,0,1,0,1,0,1,3,0,0,38,0,1450,1,119,26,28,182700.0,1
3,0,3.0,0,0,3.0,0,22020,1,0,1,0,0,0,1,10.0,0,0,0,1,0,5,3,26,5,1,1,0,1,1,1,0,5,1,0,1,0,40,1,1,0,1,0,1,0,10,7.0,40,1,1,2,42.0,0,21000,13,0,0,0,0,2,1.0,37,1,0,1,0,0,0,1,3,0,0,39,0,1820,1,103,27,29,235200.0,1
3,0,5.0,0,0,8.0,0,20020,0,0,1,0,0,0,1,5.0,0,0,0,0,0,1,1,12,5,0,0,0,1,0,0,0,14,1,0,1,0,41,0,1,0,1,1,1,0,31,5.0,41,1,0,17,40.0,0,29000,13,0,0,0,0,1,1.0,15,0,0,1,0,1,0,1,3,0,0,40,0,1600,1,225,28,30,252000.0,1
3,0,5.0,0,0,8.0,1,20020,1,0,1,0,0,0,1,5.0,1,0,0,0,0,1,3,14,5,1,0,0,1,0,1,0,1,0,0,1,0,42,0,1,0,1,0,1,0,33,5.0,42,1,0,2,38.0,1,27000,13,0,0,0,0,5,1.0,38,1,0,1,0,1,0,1,3,0,0,41,0,1700,1,101,29,3,249900.0,0
3,0,5.0,0,0,8.0,1,20020,1,0,1,0,0,0,1,5.0,1,0,0,0,0,1,3,14,5,1,0,0,1,0,1,0,1,0,0,1,0,42,0,1,0,1,0,1,0,33,5.0,42,1,0,2,38.0,1,27000,13,0,0,0,0,5,1.0,38,1,0,1,0,1,0,1,3,0,0,41,0,1700,1,101,29,3,249900.0,0
3,0,7.0,1,1,38.0,0,22020,0,0,1,0,0,0,1,1.0,1,0,0,0,0,1,1,27,5,0,0,1,1,0,0,1,15,1,0,1,0,43,1,2,0,1,0,1,0,34,3.0,43,1,0,18,40.0,0,27002,13,0,0,0,0,1,1.0,15,0,0,1,0,1,0,1,2,0,0,42,0,1750,1,110,30,31,294000.0,0
3,0,5.0,0,0,34.0,1,22020,0,0,1,0,0,0,0,10.0,1,0,0,0,0,1,3,28,5,1,0,0,1,0,1,0,1,1,0,1,0,44,0,1,0,1,0,1,0,35,5.0,44,1,0,2,35.0,0,27000,13,0,0,0,0,1,1.0,39,1,0,1,0,1,0,1,3,0,0,43,0,1700,1,101,31,3,267750.0,0
3,0,5.0,0,0,34.0,1,22020,0,0,1,0,0,0,0,10.0,1,0,0,0,0,1,3,28,5,1,0,0,1,0,1,0,1,1,0,1,0,44,0,1,0,1,0,1,0,35,5.0,44,1,0,2,35.0,0,27000,13,0,0,0,0,1,1.0,39,1,0,1,0,1,0,1,3,0,0,43,0,1700,1,101,31,3,267750.0,0
